Age,Annual_Income,Loan_Amount,Existing_Debts,Credit_Utilization,Payment_History,Credit_History_Length,Savings_Balance,EMI_Amount,Debt_to_Income_Ratio,Creditworthy
44,777263,635894,397504,62,98,7,452120,6731,51.14,0
31,354226,331035,6734,52,71,19,457812,18279,1.9,0
37,1162454,495331,214072,27,67,7,191065,48558,18.42,0
28,691818,676020,301152,31,76,10,467582,47223,43.53,0
55,256396,766079,311493,99,57,12,572631,45223,121.49,0
55,318920,866309,138886,11,55,23,414991,25416,43.55,0
53,606547,299465,436370,53,60,27,787558,29000,71.94,0
25,394999,274589,138923,58,78,18,643273,13045,35.17,0
59,263014,588314,386622,72,90,23,335156,37299,147.0,0
48,794699,332566,132672,82,54,6,319830,11666,16.69,0
27,385550,976748,56614,46,56,26,720917,19245,14.68,0
29,1435382,345625,203474,78,71,20,336380,33566,14.18,0
28,1233994,925612,265836,63,96,27,186946,28339,21.54,0
32,538585,683672,126745,48,53,21,140025,5852,23.53,0
54,1294697,302771,189099,30,81,28,128222,17414,14.61,1
53,1244890,108031,248843,27,68,8,565874,15281,19.99,0
43,522341,976025,282517,77,94,5,67009,49538,54.09,0
44,1333153,969250,229708,12,82,3,10607,48155,17.23,1
57,556778,919559,456021,57,50,2,762525,29031,81.9,0
55,1497682,404398,374557,18,95,22,833818,17626,25.01,1
42,1235141,642520,473599,75,90,6,351769,24302,38.34,0
47,860197,717372,14507,11,93,7,465868,46741,1.69,1
55,705200,392368,325075,13,99,8,648160,47691,46.1,0
21,676379,466673,75499,7,90,4,236316,31112,11.16,1
55,725754,513788,202714,82,57,12,980616,6511,27.93,0
57,1236149,810791,203941,21,81,24,440241,39276,16.5,1
34,546030,866392,376506,48,79,12,648523,5668,68.95,0
23,528055,137695,359593,90,95,17,916732,7087,68.1,0
21,288422,180066,358963,50,77,22,517314,8015,124.46,0
25,1215691,188982,301567,94,90,22,859924,32419,24.81,0
46,535513,314837,103612,62,81,19,151295,40430,19.35,0
34,1158378,689601,488567,32,74,9,518105,32314,42.18,0
59,932722,983362,86120,18,83,12,295087,12614,9.23,1
47,1086388,603098,379553,13,82,28,97051,5003,34.94,1
29,1400847,594380,353062,30,62,21,891587,27235,25.2,0
35,1234104,531995,66600,6,74,17,466076,34366,5.4,0
35,553548,632393,41848,79,91,23,502884,33837,7.56,0
46,1044156,735865,6820,85,89,10,862719,9139,0.65,0
33,1416053,254300,270656,38,88,19,121541,10585,19.11,1
52,1477880,340699,167797,23,93,26,254084,4659,11.35,1
59,1226163,646222,313678,43,98,26,377993,27225,25.58,0
52,1015363,647076,216223,86,93,11,867312,6634,21.3,0
24,552621,913689,387335,17,97,20,437189,40590,70.09,0
50,672697,854371,170848,9,59,22,216120,4682,25.4,0
57,931658,455041,60945,54,80,24,177727,36451,6.54,0
43,885493,534003,245420,27,93,13,240706,5562,27.72,1
59,967976,545707,345564,92,60,4,84158,5652,35.7,0
35,678705,205223,178527,33,74,15,467393,46949,26.3,0
49,502619,702356,345632,76,95,12,987013,22315,68.77,0
56,806954,574324,183505,30,94,25,132207,10502,22.74,1
33,558766,406092,271855,83,83,24,112987,5713,48.65,0
52,307573,920139,190334,61,69,26,594749,6413,61.88,0
27,469152,613339,86009,5,56,10,552946,22984,18.33,0
42,510435,541513,214857,32,82,22,656499,21487,42.09,0
48,358477,130738,9597,66,84,7,308277,3075,2.68,0
22,1496717,385740,60067,51,78,24,748543,34550,4.01,0
26,498530,634359,218592,82,61,2,397419,21190,43.85,0
48,1400475,180613,48022,63,54,21,292764,33263,3.43,0
48,1019472,123601,212996,35,61,29,440283,43293,20.89,0
40,540687,79873,374817,74,78,7,472485,12909,69.32,0
50,1215197,742008,499479,53,84,8,170747,30212,41.1,0
31,759603,121468,411998,9,69,21,732561,15962,54.24,0
48,614380,862902,51782,35,86,19,535148,16853,8.43,1
45,1380594,770489,465360,41,50,6,649820,35822,33.71,0
59,1001125,58328,491867,83,65,21,824050,15375,49.13,0
53,489385,187405,186085,19,79,8,824348,45361,38.02,1
21,1101626,825807,372860,56,58,25,218289,46964,33.85,0
47,295790,171173,380174,73,91,25,878488,3109,128.53,0
33,1133044,96638,334180,96,59,28,884099,2320,29.49,0
23,796543,847700,297486,15,62,28,32878,48482,37.35,0
59,1420851,251675,85745,47,97,22,611248,16987,6.03,0
26,1259926,163920,414193,74,69,20,572842,38185,32.87,0
28,518953,946811,234648,27,78,4,692156,4699,45.22,0
47,301894,460261,319540,44,53,25,412561,47436,105.85,0
29,636048,746101,114836,67,95,20,989022,29209,18.05,0
57,479720,485986,106998,6,98,24,920290,40330,22.3,1
53,1331960,57887,50021,83,77,9,133448,47415,3.76,0
44,1248966,803266,462273,91,86,5,234094,23547,37.01,0
35,1031868,74918,130672,90,62,29,294728,23939,12.66,0
52,606245,871929,380703,77,52,6,533663,15202,62.8,0
52,222490,405706,328980,51,86,19,21598,30220,147.86,0
44,1032307,766369,420291,34,97,12,739221,22762,40.71,0
32,805108,324073,220587,20,68,5,421661,9796,27.4,0
59,471265,556508,424018,63,77,5,315957,2722,89.97,0
22,201539,676489,208833,51,68,18,144802,44364,103.62,0
23,512579,570337,77017,34,66,26,545972,48304,15.03,0
57,715584,784459,479969,13,67,6,460686,12674,67.07,0
37,263965,428710,241421,69,67,9,376570,49415,91.46,0
22,1346375,340690,186894,63,72,11,175635,3812,13.88,0
22,1342524,259496,444819,68,89,23,937545,43541,33.13,0
48,1391890,742698,364833,12,99,14,456681,3278,26.21,1
43,448099,477499,80291,56,58,24,83723,49222,17.92,0
57,1230065,656782,352594,22,78,2,71320,36118,28.66,1
52,995379,521386,166664,95,91,27,375288,4623,16.74,0
53,967610,790147,56006,86,78,29,304768,7530,5.79,0
21,926826,358710,419485,62,51,14,741815,16987,45.26,0
39,1106395,397608,104268,53,66,25,275870,1924,9.42,0
22,1260194,808141,312282,36,94,19,791800,20546,24.78,1
46,536430,178279,62398,52,80,10,762612,38297,11.63,0
52,862714,131991,221163,49,77,5,239635,13270,25.64,0
26,810724,404824,150946,58,92,23,191465,19953,18.62,0
52,410448,340157,319372,89,97,4,667203,36583,77.81,0
24,1170278,102132,324814,50,88,7,851361,24356,27.76,0
31,695919,305069,125613,35,79,24,986360,5578,18.05,1
37,1384685,535714,102071,41,84,13,730820,5462,7.37,0
58,1277209,733444,110572,20,97,10,810186,1888,8.66,1
44,1010927,944287,247766,50,69,10,694213,23332,24.51,0
25,1050982,726503,138997,50,65,4,462776,20862,13.23,0
54,412456,141627,265251,82,83,16,995320,20973,64.31,0
26,575325,172772,86388,92,63,15,105324,47410,15.02,0
42,666589,981683,95719,93,75,21,738692,2723,14.36,0
31,496213,279415,118018,65,69,11,538855,24410,23.78,0
36,1387018,715582,289761,50,91,19,498963,9602,20.89,0
53,1103275,563277,74258,55,73,21,215908,19614,6.73,0
29,1320523,309013,312219,66,92,24,334262,45154,23.64,0
26,370205,900500,126998,39,67,3,462102,19444,34.3,0
36,1344337,467165,284775,85,92,15,985228,3613,21.18,0
49,1118196,66116,123120,46,58,16,828582,43772,11.01,0
23,1353276,756412,193516,49,68,14,207863,24082,14.3,0
40,773881,625657,359302,72,69,29,266250,16980,46.43,0
56,1218454,754177,401099,79,91,5,893796,45866,32.92,0
39,205209,939532,412924,51,79,26,933966,1677,201.22,0
46,599749,283982,46221,83,75,17,224650,12102,7.71,0
23,1258503,788563,148269,34,80,18,561848,41498,11.78,1
39,841621,255383,414350,28,84,19,618856,44211,49.23,0
40,1404242,341799,368066,70,52,1,647534,4004,26.21,0
52,930212,238874,33550,47,89,29,218758,49170,3.61,0
27,1457361,621920,276786,38,78,27,668731,9986,18.99,1
53,538526,981697,413655,27,55,28,357493,34496,76.81,0
59,339005,261284,490995,65,50,27,134460,27269,144.83,0
38,1229661,736136,106093,99,73,25,195084,15173,8.63,0
21,396521,486441,417799,41,87,9,214228,48609,105.37,0
31,1123593,241082,261188,17,83,21,275076,22118,23.25,1
48,649764,263807,93885,75,56,14,948974,33958,14.45,0
45,1405771,246523,79538,11,60,20,19778,15089,5.66,0
43,1298589,754172,324158,46,60,21,295177,43956,24.96,0
51,601562,523818,281667,42,85,20,675664,44067,46.82,0
50,416486,331039,372429,56,69,28,267589,21250,89.42,0
55,626888,988713,201615,48,65,21,778221,27065,32.16,0
27,1035988,285892,479187,68,54,23,399585,14690,46.25,0
36,1110155,787696,105879,17,73,11,417623,14740,9.54,0
46,750428,292718,90629,92,79,24,473735,44069,12.08,0
22,463328,767167,338974,32,79,2,12521,39807,73.16,0
21,311361,597374,497157,86,88,20,923063,40213,159.67,0
32,992038,135637,307682,5,97,24,94622,42597,31.02,1
25,597172,525243,309454,47,96,23,517922,5045,51.82,0
57,1265131,732567,404124,46,86,25,127257,6624,31.94,0
52,814673,419478,115266,99,82,5,648935,21542,14.15,0
29,455658,726257,188362,54,69,22,141855,44779,41.34,0
55,954085,637371,446850,64,71,27,52666,21495,46.84,0
39,303844,145028,274843,5,90,24,157870,40602,90.46,0
36,1339897,903389,231241,55,70,15,739451,10033,17.26,0
23,1035488,671839,251249,20,86,12,872735,22604,24.26,1
40,298234,914938,66912,43,76,14,273247,21442,22.44,0
44,674718,712643,145327,19,87,11,981547,4247,21.54,1
53,951993,668312,79183,37,84,21,80845,41748,8.32,1
44,1198922,917913,60282,91,87,9,699299,26474,5.03,0
31,925571,312399,58249,57,89,20,986546,6586,6.29,0
28,1028282,565152,38176,21,55,8,346314,8940,3.71,0
56,671761,257627,8163,93,81,12,770072,19606,1.22,0
58,524464,589775,316354,10,65,3,808567,43217,60.32,0
40,754081,550549,123844,35,77,21,391577,41747,16.42,1
55,1221911,593634,366731,73,65,15,203020,35282,30.01,0
45,1268203,871482,231352,44,76,8,631868,46506,18.24,0
55,677317,320888,334123,34,52,26,358625,3883,49.33,0
45,1471209,467972,78860,73,98,28,200828,37594,5.36,0
49,1169752,111596,152215,80,70,7,526076,31495,13.01,0
38,517942,788757,499115,11,87,17,573692,13567,96.37,0
38,537462,992650,267064,17,87,12,799021,5339,49.69,0
22,550046,431784,82911,8,79,20,216639,34442,15.07,1
55,621773,891464,300140,54,71,18,543983,23673,48.27,0
36,533478,879119,404964,7,68,18,222135,16426,75.91,0
56,668379,227175,356215,16,80,29,802154,17486,53.3,0
53,568863,203048,474467,69,69,15,252778,11549,83.41,0
24,1371675,899295,47252,31,96,23,584162,4993,3.44,1
53,933362,443807,384878,54,68,28,404057,13219,41.24,0
34,897974,56277,456395,81,51,28,684091,4708,50.82,0
41,307449,898292,399666,21,89,3,397245,29788,129.99,0
40,1351404,183332,52756,76,88,19,534933,2495,3.9,0
28,1375189,290515,312379,36,76,15,566404,30434,22.72,1
27,272095,834865,352690,88,57,16,575271,37160,129.62,0
23,830212,771243,393236,55,94,22,39402,45466,47.37,0
37,820740,336885,387946,21,76,22,845590,8537,47.27,0
53,287593,431864,211325,38,64,17,500501,36553,73.48,0
32,891252,349355,370565,39,61,1,308613,23203,41.58,0
42,1102473,814752,402880,28,96,11,857008,6588,36.54,1
42,326202,832733,328779,58,63,6,286052,29308,100.79,0
50,277606,484758,285369,22,56,23,70269,38570,102.8,0
58,1372345,319013,199245,54,66,9,576519,16211,14.52,0
58,318542,536834,369029,50,75,20,841653,38659,115.85,0
28,775610,399760,499264,52,86,16,940219,46528,64.37,0
47,1406126,144515,85333,37,69,26,572686,4525,6.07,0
47,655433,200494,171297,91,59,6,596660,20901,26.13,0
54,824987,740973,272951,93,68,12,831756,5777,33.09,0
41,290140,238088,476490,31,67,19,684698,5189,164.23,0
50,1346204,634398,6402,5,79,13,672747,46791,0.48,1
53,1333634,269601,4521,89,79,13,491924,24317,0.34,0
48,681799,783282,194237,63,74,27,167247,32501,28.49,0
53,1400118,346177,250885,14,73,4,40795,19297,17.92,0
25,242674,881645,376837,99,59,9,511378,11649,155.29,0
39,327572,310705,8382,29,51,14,924231,24719,2.56,0
24,491975,505209,373140,88,87,14,515150,47645,75.85,0
55,781462,62938,495873,61,81,17,403064,2150,63.45,0
37,631436,180842,15065,70,84,5,527157,15301,2.39,0
48,645935,314418,347614,19,86,27,702789,29434,53.82,0
50,980296,920822,14425,32,56,23,335249,37905,1.47,0
49,1301627,475031,275255,17,56,19,800233,21520,21.15,0
26,1451661,519234,171871,18,76,2,785681,2510,11.84,1
55,1314100,200033,53257,70,59,13,148485,29546,4.05,0
57,468614,70044,386134,38,82,11,256923,14982,82.4,0
44,717733,149372,192249,29,92,2,906807,4915,26.79,1
49,515617,989479,389957,58,56,1,551953,15734,75.63,0
51,1137384,326850,343190,83,55,21,479608,23709,30.17,0
55,1293015,187046,299995,16,55,29,893068,20636,23.2,0
53,476452,388608,8816,13,62,3,905823,33684,1.85,0
41,291563,595501,471069,35,97,27,18187,11957,161.57,0
52,951616,576238,2175,82,62,12,599277,37706,0.23,0
43,930602,304043,273485,97,51,7,560072,34841,29.39,0
53,959495,790373,326052,57,68,1,845886,35960,33.98,0
23,1169655,846843,156726,47,68,9,679165,41975,13.4,0
38,367896,965035,454111,42,99,18,838147,32828,123.43,0
45,821912,374888,59696,46,87,24,849843,41151,7.26,0
51,619515,723131,188961,76,51,26,130451,29129,30.5,0
23,1217497,513026,218216,52,75,20,52186,38939,17.92,0
44,230063,871485,345259,71,55,6,263940,9298,150.07,0
52,1239272,298966,292338,70,69,9,869543,7480,23.59,0
42,454371,495292,428053,20,72,23,379873,28544,94.21,0
43,1185976,188117,462110,87,64,8,769642,46426,38.96,0
22,302166,369767,84358,98,55,23,515956,3857,27.92,0
47,1263082,79714,172648,20,77,18,38093,5349,13.67,1
22,1473989,739746,364692,35,84,25,84625,2428,24.74,1
46,1197358,421427,150799,62,60,15,236062,40491,12.59,0
37,1362180,320706,34579,32,57,1,556762,47778,2.54,0
53,1274602,367192,96554,8,99,14,280298,24163,7.58,1
29,620888,405439,147627,14,98,18,687424,28677,23.78,1
59,390285,62026,315438,55,73,19,786559,31904,80.82,0
49,1299547,156147,49777,22,70,19,234494,16718,3.83,0
46,620497,605877,399122,51,98,10,170470,15809,64.32,0
55,313978,682487,40751,36,85,20,373810,14272,12.98,1
45,1407739,933706,200671,34,56,21,709229,12828,14.25,0
44,303864,338988,108750,40,54,6,19646,45431,35.79,0
33,1231259,990951,74180,13,78,17,593959,8856,6.02,1
27,1136114,402559,238986,40,65,14,462923,12223,21.04,0
56,594295,258574,204750,33,55,13,126700,40413,34.45,0
40,819674,264340,293788,20,63,8,35391,36689,35.84,0
21,648648,104708,33521,96,51,22,694182,9166,5.17,0
28,805151,507141,11564,25,74,10,910491,13637,1.44,0
36,540435,645113,105155,68,80,9,310016,47534,19.46,0
34,325659,625862,463856,70,99,5,85048,1878,142.44,0
32,1255811,397692,420515,63,99,23,170412,11704,33.49,0
43,1311288,462028,441174,32,62,27,615893,9502,33.64,0
35,1401121,282409,187150,59,67,4,386754,16266,13.36,0
48,962178,760669,406637,35,66,6,386703,49068,42.26,0
54,325849,638518,350891,37,94,6,669862,35089,107.69,0
22,1224903,304451,273346,91,77,13,632060,45356,22.32,0
52,455493,877013,371551,64,61,4,582308,21759,81.57,0
43,804111,297174,435401,45,84,22,271655,16046,54.15,0
42,1352791,489844,499879,85,71,8,99543,26270,36.95,0
45,232230,269700,134757,50,88,27,817403,11806,58.03,0
42,546717,337249,90197,53,50,5,199448,42230,16.5,0
42,947948,916262,42637,69,86,2,16037,38988,4.5,0
26,662092,564539,149438,46,70,9,715667,36892,22.57,0
35,502788,381301,496464,27,50,11,904028,30512,98.74,0
57,1428312,475658,24276,31,53,20,954865,41954,1.7,0
53,1031635,399379,343090,93,81,20,286610,6099,33.26,0
28,847534,820802,441455,36,50,11,764660,31311,52.09,0
25,1333393,314491,337358,87,62,7,806059,9552,25.3,0
59,1487233,800382,155647,92,95,26,424809,12627,10.47,0
24,1465609,884082,434617,7,96,14,585985,26309,29.65,1
26,431414,198182,303374,64,66,26,557437,46756,70.32,0
52,456812,243242,210496,80,61,6,551025,2350,46.08,0
50,504958,972427,475479,83,56,4,77854,13276,94.16,0
55,370956,757161,386230,21,52,6,972991,12739,104.12,0
36,1055754,505987,129526,36,99,3,559602,22302,12.27,1
33,221650,174926,461833,11,75,23,831719,39498,208.36,0
50,1126694,131147,154093,87,80,6,957955,13384,13.68,0
39,1419097,360279,402665,75,85,3,867395,34094,28.37,0
37,1419309,593487,408873,73,75,1,702731,3120,28.81,0
39,1016141,976570,297203,62,52,28,165702,1993,29.25,0
48,442037,938015,1532,44,93,26,192308,22759,0.35,0
46,1329004,233208,102666,89,77,21,830099,19150,7.73,0
57,406251,928722,181877,52,93,26,102214,46388,44.77,0
46,734231,479791,81551,55,66,18,35099,26756,11.11,0
43,221042,270868,168828,61,87,23,107170,49546,76.38,0
29,1030326,170787,71880,75,96,29,268744,36549,6.98,0
32,1178582,164427,106734,41,79,23,224493,40787,9.06,0
21,518903,198063,376141,91,51,4,794108,36673,72.49,0
21,1094801,727913,205714,79,57,6,874036,9290,18.79,0
54,1014811,270782,427422,78,63,17,354779,49028,42.12,0
52,582811,661781,314312,89,86,18,179170,17627,53.93,0
45,701691,968138,113123,59,84,6,693233,8938,16.12,0
21,1208314,538633,206260,45,91,2,688918,39262,17.07,0
36,414304,849203,417766,24,88,12,201195,3709,100.84,0
59,596178,175607,399605,37,60,12,564806,28629,67.03,0
25,638963,821122,87897,44,64,27,62763,46422,13.76,0
42,1111612,985802,166919,38,51,4,740076,45186,15.02,0
49,514493,129876,104599,66,86,16,69172,25085,20.33,0
23,401904,542108,341383,95,92,20,747491,47537,84.94,0
32,911716,217071,280786,23,81,10,492492,41563,30.8,1
46,870105,777247,369006,47,89,25,234330,31832,42.41,0
36,205730,896080,248751,73,62,10,779137,24472,120.91,0
57,1450786,505884,36509,67,92,7,931254,49850,2.52,0
42,938471,512590,341561,97,66,14,677241,21762,36.4,0
49,1267599,510725,311381,14,64,7,947110,10507,24.56,0
34,545430,293722,146486,17,82,12,288963,10578,26.86,1
48,1028411,546564,325320,97,65,11,626301,7711,31.63,0
25,608213,387927,128633,9,62,17,169827,16979,21.15,0
50,900399,618728,342009,62,71,11,35811,16049,37.98,0
25,220923,605943,117181,63,72,21,461338,25997,53.04,0
32,1047405,617327,62059,80,85,3,309841,41830,5.93,0
36,394795,367399,311294,63,92,19,595484,16833,78.85,0
46,1028854,122219,350511,81,99,22,647388,21185,34.07,0
46,433462,760349,41091,90,99,4,421560,22746,9.48,0
41,251413,847676,204196,19,59,8,30656,22857,81.22,0
59,1088916,668882,903,81,66,14,167454,10603,0.08,0
56,753044,370739,241024,5,79,20,172103,12441,32.01,1
53,610226,744911,316379,42,62,24,212421,5570,51.85,0
50,1375615,768590,189637,57,79,14,70574,33316,13.79,0
57,380074,416042,317486,56,95,28,470476,19467,83.53,0
43,856735,340515,173795,5,79,16,67529,13845,20.29,1
30,1008524,512574,35572,15,56,15,404710,45638,3.53,0
25,331562,209950,279754,62,59,12,421579,43310,84.37,0
56,1252305,217229,296196,44,84,16,687172,27943,23.65,0
54,842510,55914,98993,90,51,20,947941,5833,11.75,0
51,808148,264772,349207,64,79,19,116741,40569,43.21,0
30,458360,339324,430766,48,68,5,630348,4340,93.98,0
39,559014,971192,447249,10,88,12,17160,44532,80.01,0
52,1269974,916651,422227,32,86,29,182415,13312,33.25,1
21,496794,915048,496027,35,52,5,557881,37612,99.85,0
25,828177,277561,427980,12,74,10,665644,1639,51.68,0
24,560306,977420,97540,9,83,26,451299,45188,17.41,1
36,1474535,237435,53533,58,71,17,178923,16211,3.63,0
44,827122,669501,155136,21,87,15,554666,14496,18.76,1
36,718490,470576,386133,42,63,8,673851,29845,53.74,0
22,753608,612093,258897,13,88,8,861932,41919,34.35,1
48,663092,456669,180653,78,51,8,862868,31089,27.24,0
52,234924,176599,120388,88,81,10,797891,42145,51.25,0
47,1461368,728063,290846,82,92,20,416896,39168,19.9,0
40,895385,240093,478917,18,52,13,553593,30672,53.49,0
44,1250735,124176,123482,30,90,16,176373,16945,9.87,1
32,773228,144799,270775,97,57,9,698052,18702,35.02,0
55,670192,672673,254936,66,75,16,704707,9719,38.04,0
53,640420,809942,87388,95,81,10,158261,37027,13.65,0
53,862132,138919,124798,29,60,3,672955,37251,14.48,0
57,965328,974914,70043,84,99,23,487364,20403,7.26,0
32,929115,655750,459279,40,50,22,74370,27809,49.43,0
23,354536,229340,160053,84,64,25,274065,43527,45.14,0
21,775425,739608,297908,37,53,28,637564,26150,38.42,0
53,623448,81159,232843,7,53,14,268741,11226,37.35,0
30,1047929,92039,259859,91,77,13,12387,47940,24.8,0
49,701233,807262,443729,15,59,4,348410,38172,63.28,0
33,824773,97800,129014,62,60,4,352510,43172,15.64,0
32,1489546,352905,113076,68,99,6,241372,39705,7.59,0
51,1202021,668914,99007,22,72,24,14825,35202,8.24,0
22,200901,529319,197270,51,96,19,15282,9729,98.19,0
55,287980,168368,287084,48,52,11,941373,24938,99.69,0
43,989313,749023,369562,97,88,8,520407,38721,37.36,0
37,492007,655191,71792,63,88,14,25451,10766,14.59,0
46,966722,168998,421648,54,66,8,262622,9384,43.62,0
28,598838,291324,8367,73,71,14,772294,26762,1.4,0
49,715956,559662,373908,92,76,23,683265,29724,52.22,0
46,687063,478583,234673,33,65,7,765015,26050,34.16,0
30,926546,563520,418727,97,65,21,143770,21653,45.19,0
46,1031633,973317,270717,94,89,18,947500,14507,26.24,0
54,451839,372038,15582,71,52,12,682252,8378,3.45,0
27,1225264,283229,136450,6,96,14,792586,43773,11.14,1
24,796860,887876,327440,29,82,15,582356,46755,41.09,0
31,1036642,111748,144572,23,91,18,768974,36205,13.95,1
49,587773,91190,327985,44,51,29,606014,12571,55.8,0
56,222499,90318,21881,6,88,12,875134,38320,9.83,1
45,826840,742378,332377,87,95,10,912394,49853,40.2,0
41,644844,174078,182614,69,97,12,432905,31190,28.32,0
56,686525,89759,65285,66,76,8,242198,24580,9.51,0
30,1071905,852930,59547,95,64,27,41604,37522,5.56,0
57,343704,600277,193223,58,56,6,124751,7265,56.22,0
29,885967,545926,138294,49,94,24,341601,45489,15.61,0
44,1340449,730928,7933,53,91,19,366671,7741,0.59,0
55,265756,429179,345529,73,58,1,944747,2837,130.02,0
55,640210,903009,482988,42,90,13,578075,18409,75.44,0
56,1443030,417375,240839,8,55,22,437531,18042,16.69,0
38,1370473,735459,98706,21,61,16,304179,18061,7.2,0
59,720082,926332,471653,57,79,18,569132,29986,65.5,0
52,499488,483855,400156,89,69,12,515482,21205,80.11,0
44,1243361,941111,346734,57,69,25,288964,36143,27.89,0
43,283791,335626,368543,35,95,5,229077,7859,129.86,0
52,903335,381356,321289,26,76,21,318820,46507,35.57,1
57,1381110,498477,174682,15,69,13,767321,35356,12.65,0
32,1330017,530533,319664,38,56,26,322058,21965,24.03,0
33,1486188,866480,4544,19,89,8,666095,13854,0.31,1
